T,szG,sz1DMFGS,sz2DMFGS,sz3DMFGS
236.001,0.014181838724927093,0.07804065488270512,0.11018455014228082,0.13430628588902976
237.001,0.014122031891265763,0.0777225836789524,0.1097416374001583,0.13377446804989895
238.001,0.014062727234580408,0.07740707249296297,0.10930221234024085,0.1332467404534606
239.001,0.014003918458058873,0.07709409081255714,0.10886623465059561,0.13272305738464285
240.001,0.01394559936969808,0.07678360860411276,0.10843366462623963,0.13220337378551072
241.001,0.01388776388013313,0.07647559630331008,0.10800446315800774,0.13168764524396115
242.001,0.01383040600051963,0.07617002480608803,0.10757859172165965,0.13117582798263827
243.001,0.013773519840468929,0.07586686545980642,0.1071560123672178,0.13066787884806474
244.001,0.013717099606033317,0.07556609005461001,0.10673668770853278,0.13016375529998472
245.001,0.013661139597741123,0.07526767081498634,0.10632058091306862,0.12966341540091297
246.001,0.013605634208679107,0.07497158039151608,0.10590765569190555,0.12916681780588746
247.001,0.013550577922621876,0.07467779185280721,0.10549787628995155,0.1286739217524203
248.001,0.013495965312205843,0.07438627867761072,0.1050912074763608,0.12818468705064157
249.001,0.013441791037147766,0.07409701474711247,0.10468761453515274,0.12769907407363507
250.001,0.013388049842505634,0.07380997433739603,0.10428706325602657,0.12721704374795884
251.001,0.01333473655698092,0.07352513211207307,0.10388951992536818,0.12673855754434907
252.001,0.013281846091261595,0.07324246311507673,0.10349495131744216,0.12626357746860117
253.001,0.013229373436403902,0.07296194276361331,0.10310332468576877,0.12579206605262672
254.001,0.013177313662252749,0.07268354684126899,0.10271460775467714,0.12532398634568043
255.001,0.013125661915898895,0.07240725149126756,0.10232876871103336,0.12485930190575562
256.001,0.013074413420172376,0.07213303320987435,0.1019457761961386,0.12439797679114303
257.001,0.013023563472170846,0.07186086883994444,0.10156559929779291,0.12393997555214986
258.001,0.012973107441822423,0.07159073556461037,0.1011882075425215,0.12348526322297732
259.001,0.012923040770481647,0.0713226109011052,0.10081357088795953,0.12303380531375085
260.001,0.012873358969557602,0.07105647269471993,0.10044165971539129,0.12258556780270038
261.001,0.012824057619173546,0.07079229911288937,0.10007244482244132,0.12214051712849183
262.001,0.012775132366857817,0.07053006863940464,0.0997058974159119,0.12169862018269792
263.001,0.012726578926263221,0.07026976006874947,0.09934198910476658,0.12125984430241524
264.001,0.012678393075917255,0.0700113525005559,0.09898069189325373,0.12082415726301635
265.001,0.012630570657998968,0.06975482533417779,0.09862197817416801,0.12039152727104008
266.001,0.012583107577144204,0.06950015826337885,0.09826582072224654,0.11996192295721272
267.001,0.01253599979927758,0.06924733127113195,0.09791219268769719,0.11953531336960235
268.001,0.01248924335047047,0.0689963246245277,0.09756106758985494,0.11911166796689629
